0.0032229600,0.0019121900,0.0016175000,0.0015518600,0.0015146900,0.0014770100,0.0014167200,0.0013499000,0.0012979400,0.0012939900,0.0012171100,0.0011791000,0.0011634300,0.0012030900,0.0011837900,0.0011619700,0.0011756800,0.0011821900,0.0011878900,0.0011734700
0.0046530800,0.0027086900,0.0022798100,0.0021083600,0.0020089500,0.0019132400,0.0018116900,0.0017138700,0.0016419000,0.0016263500,0.0015618900,0.0015087800,0.0015059700,0.0015317900,0.0015104600,0.0014897300,0.0014841600,0.0014836800,0.0014900800,0.0014768000
0.0061983500,0.0035123700,0.0027719600,0.0024964600,0.0023516300,0.0021953900,0.0020838600,0.0019785600,0.0019119700,0.0018426100,0.0017692500,0.0016886900,0.0016778100,0.0017082700,0.0016739200,0.0016492300,0.0016499700,0.0016490000,0.0016421300,0.0016320700
0.0071602100,0.0042994700,0.0033854900,0.0029396200,0.0026495300,0.0024716900,0.0023217500,0.0021762300,0.0020745700,0.0020249200,0.0019509700,0.0018758800,0.0018474100,0.0018505100,0.0018051600,0.0017779300,0.0017631600,0.0017594500,0.0017568100,0.0017289500
0.0086661600,0.0048588500,0.0037068800,0.0033596700,0.0030153400,0.0027418000,0.0025473700,0.0023907500,0.0022732000,0.0022003300,0.0021134100,0.0020456600,0.0020039300,0.0019920900,0.0019263900,0.0018983000,0.0018837700,0.0018656500,0.0018378800,0.0018135700
0.0095899500,0.0054642000,0.0041549300,0.0036463700,0.0032750300,0.0029345600,0.0027365300,0.0025338400,0.0024319200,0.0023394700,0.0022369500,0.0021387400,0.0020874300,0.0020839700,0.0020191700,0.0019849900,0.0019613400,0.0019429600,0.0019288000,0.0018991100
0.0107024000,0.0062128600,0.0047452600,0.0041189500,0.0035650300,0.0031835800,0.0029116200,0.0027617100,0.0025899800,0.0024873000,0.0023678400,0.0022696400,0.0022060300,0.0021765800,0.0021023800,0.0020698100,0.0020471600,0.0020257800,0.0020165300,0.0019742100
0.0114488000,0.0069922000,0.0051210800,0.0043329700,0.0037869000,0.0033924400,0.0031318400,0.0029600500,0.0027710900,0.0026739400,0.0025612800,0.0024482000,0.0023678900,0.0023212700,0.0022208200,0.0021683400,0.0021439600,0.0021194900,0.0020944400,0.0020456200
0.0121954000,0.0075682300,0.0055892100,0.0047257500,0.0041033100,0.0036371600,0.0033525500,0.0031189500,0.0029171700,0.0027925000,0.0026649000,0.0025572100,0.0024597500,0.0024249900,0.0023230900,0.0022536000,0.0022336400,0.0022052400,0.0021765200,0.0021251900
0.0133112000,0.0080982100,0.0059101600,0.0049961500,0.0043767500,0.0038917500,0.0035207300,0.0032369900,0.0030276500,0.0029067900,0.0027739300,0.0026259800,0.0025517200,0.0024934400,0.0023918300,0.0023388000,0.0023057800,0.0022575600,0.0022222100,0.0021839000
0.0139056000,0.0084105000,0.0064043600,0.0053547400,0.0046246000,0.0040532300,0.0036881200,0.0034483300,0.0032182100,0.0030682800,0.0029510900,0.0028296800,0.0027229700,0.0026734700,0.0025403200,0.0024951000,0.0024488200,0.0024118600,0.0023619300,0.0023005400
0.0145489000,0.0091822200,0.0068736300,0.0056517800,0.0049343900,0.0042641300,0.0038938200,0.0035877400,0.0033643900,0.0032232100,0.0030480900,0.0028879800,0.0027887500,0.0027344200,0.0026017700,0.0025619100,0.0025168700,0.0024572200,0.0024113800,0.0023421100
0.0156180000,0.0097595800,0.0073325800,0.0059389300,0.0050968500,0.0044655400,0.0041047500,0.0038316700,0.0035307900,0.0033708200,0.0031895400,0.0030514400,0.0029397600,0.0028606200,0.0027308100,0.0026775300,0.0026205600,0.0025585000,0.0024883000,0.0024245600
0.0161701000,0.0100990000,0.0076361700,0.0063546400,0.0054041900,0.0047236400,0.0042597000,0.0039294100,0.0036526300,0.0034647100,0.0032569000,0.0030974200,0.0029763800,0.0028982600,0.0027372000,0.0026882700,0.0026401600,0.0025806500,0.0025396900,0.0024689600
0.0167930000,0.0105183000,0.0079778600,0.0066537700,0.0057227400,0.0049728800,0.0044175700,0.0041212700,0.0037874200,0.0036356500,0.0033962800,0.0032299900,0.0031110100,0.0030095900,0.0028746900,0.0028124500,0.0027570900,0.0026887700,0.0026341000,0.0025475200
0.0171347000,0.0109555000,0.0082324400,0.0068126900,0.0058374400,0.0050375000,0.0045550600,0.0042348500,0.0039848800,0.0037600400,0.0035560300,0.0033587800,0.0031740000,0.0030993800,0.0029426900,0.0028711300,0.0028035400,0.0027384100,0.0026854200,0.0025982100
0.0177372000,0.0112715000,0.0086590800,0.0071886100,0.0060504200,0.0051377200,0.0047470800,0.0043676000,0.0040633300,0.0038271000,0.0036204800,0.0034178200,0.0032833400,0.0031766600,0.0030098100,0.0029218900,0.0028520400,0.0027674100,0.0027147500,0.0026276700
0.0182511000,0.0118106000,0.0090665900,0.0074884300,0.0064050600,0.0054168700,0.0048911600,0.0045093900,0.0042115200,0.0039704100,0.0037280100,0.0035510400,0.0033734800,0.0032632200,0.0030940900,0.0030031100,0.0029369100,0.0028693300,0.0028218300,0.0027428000
0.0187696000,0.0123402000,0.0093719700,0.0077808200,0.0066874300,0.0057919400,0.0052221500,0.0047598300,0.0043936000,0.0041387700,0.0039231700,0.0037166700,0.0035317700,0.0033906500,0.0032212400,0.0031295900,0.0030539100,0.0029782600,0.0028958700,0.0028179000
0.0193685000,0.0128966000,0.0096648900,0.0080376900,0.0068715100,0.0058989700,0.0053880600,0.0049632800,0.0045588100,0.0042512700,0.0039702400,0.0037303500,0.0036027800,0.0034797100,0.0033020000,0.0031985200,0.0031206900,0.0030247900,0.0029439100,0.0028577500
